db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/3000x1x1/,375,1048576,1.68323,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.81301,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.8465,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.87068,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.77196,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.72155,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.89904,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.72439,0,0,0,0,0
resources/3000x1x8/,3000,1048576,7.76955,0,0,0,0,0


resources/3000x1x1/,375,1048576,0.809045,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.804103,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.814789,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.802572,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.802557,0,0,0,0,0

resources/3000x1x8/,3000,1048576,2.17129,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.1845,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.19967,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.17043,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.14713,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.16017,0,0,0,0,0





resources/3000x1x1/,375,1048576,0.685729,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.67436,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.667036,0,0,0,0,0
resources/3000x1x1/,375,1048576,0.674782,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.0132,0,0,0,0,0
resources/3000x1x8/,3000,1048576,1.99982,0,0,0,0,0
resources/3000x1x8/,3000,1048576,1.99816,0,0,0,0,0
resources/3000x1x8/,3000,1048576,2.00383,0,0,0,0,0
resources/3000x1x16/,6000,1048576,1.03867,0,0,0,0,0
resources/3000x1x16/,6000,1048576,1.03918,0,0,0,0,0
resources/3000x1x16/,6000,1048576,1.03379,0,0,0,0,0
resources/3000x1x16/,6000,1048576,1.0357,0,0,0,0,0
resources/3000x1x32/,12000,1048576,0.659572,0,0,0,0,0
resources/3000x1x32/,12000,1048576,0.669532,0,0,0,0,0
resources/3000x1x32/,12000,1048576,0.676999,0,0,0,0,0
resources/3000x1x32/,12000,1048576,0.653825,0,0,0,0,0
resources/3000x1x64/,24000,1048576,0.518317,0,0,0,0,0
resources/3000x1x64/,24000,1048576,0.518242,0,0,0,0,0
resources/3000x1x64/,24000,1048576,0.519456,0,0,0,0,0
resources/3000x1x64/,24000,1048576,0.519082,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.172736,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.171375,0,0,0,0,0
resources/10x1x8/,10,1048576,0.0104148,0,0,0,0,0
